,Inline,,,,,Display,,,,
page_id,CL,WP,NP,SGT,NGT,CL,WP,NP,SGT,NGT
3055-5,5,0,0,0,0,4,0,0,0,0
3055-18,19,0,0,0,0,7,0,0,0,0
9084-12,18,0,0,0,0,5,0,0,0,0
9153-2,13,0,0,0,0,0,0,0,0,0
9154-17,10,0,1,2,3,5,0,0,0,0
11042-3,0,4,0,3,0,0,0,0,0,0
11078-8,11,0,1,0,0,1,1,2,0,2
12032-1,5,0,8,0,8,0,0,0,0,0
12032-4,20,0,0,0,0,0,0,0,0,0
12032-10,8,0,0,0,0,4,0,0,0,0
12090-6,10,0,0,0,0,6,0,0,0,0
12090-7,7,0,0,0,0,7,0,0,0,0
12090-13,12,0,0,0,0,6,0,0,0,0
12145-6,32,5,1,3,0,6,0,0,0,0
12145-10,23,0,0,0,0,3,0,0,0,0
12145-15,33,0,0,0,0,3,0,0,0,0
12145-17,20,0,1,0,1,3,0,0,0,0
12145-28,48,2,1,0,0,1,0,0,0,0
12145-44,12,0,0,0,0,5,1,0,0,0
102083-5,28,3,0,0,0,4,0,0,0,0
102083-12,20,13,9,0,0,2,0,0,0,0
103018-4,24,0,1,0,0,5,3,1,2,1
103048-5,6,0,0,0,0,2,0,0,0,0
104191-4,9,0,0,0,0,8,0,0,0,0
104191-10,8,0,0,0,0,6,0,0,0,0
106198-8,2,0,0,0,0,0,0,0,0,0
106229-1,2,0,0,0,0,0,0,0,0,0
106229-13,38,3,2,0,0,0,0,1,0,0
10059-8,11,0,0,0,0,4,1,2,1,2
110101-3,13,0,1,0,0,1,2,1,2,1
111110-7,15,0,0,0,0,6,0,0,0,0
111196-13,0,0,0,0,0,0,0,0,0,0
201099-6,17,0,5,0,0,6,0,0,0,0
201099-18,19,1,0,0,0,6,0,1,0,0
201099-21,0,0,0,0,0,0,0,0,0,0
203047-5,12,2,1,0,0,3,0,0,0,0
203077-2,18,0,0,0,0,0,0,0,0,0
203077-8,19,0,0,0,0,2,0,0,0,0
204209-10,18,0,0,0,0,3,0,0,0,0
209229-32,11,3,0,0,0,5,0,0,0,0
210144-13,20,1,1,1,0,5,0,0,0,0
210144-15,11,0,0,0,0,2,0,0,0,0
210310-7,30,0,1,0,1,3,0,0,0,0
210310-18,75,3,4,3,3,1,0,0,0,0
210310-20,42,2,2,1,0,2,0,0,0,0
301041-1,12,3,5,3,2,8,4,1,2,0
301041-4,8,2,1,2,1,3,0,0,0,0
303137-5,5,0,0,0,0,0,0,0,0,0
303265-2,40,2,1,0,0,3,0,0,0,0
303265-3,23,1,1,0,0,3,0,0,0,0
Total,862,50,48,18,19,159,12,9,7,6
